10	40000	39560000	41680000	133797422	133797422
11	80000	50840000	54520000	135086622	135086622
12	1	34720000	37240000	133275309	133275309
13	0	0	18560000	114364328	114364328
14	0	0	18640000	107043718	107043718
15	0	0	22520000	101991189	101991189
16	1	18240000	18720000	90120000	90338345
17	80000	22760000	26560000	83257441	83257441
18	40000	15440000	20920000	80373285	80373285
19	200000	24440000	27240000	58617616	58617616
1	760000	121600000	145560000	248956422	248956422
20	40000	26400000	28720000	64444167	64444167
21	0	0	13280000	46709983	46709983
22	0	0	16040000	50818468	50818468
2	1	89240000	94600000	242193529	242193529
3	1	91560000	93680000	198295559	198295559
4	1	49080000	51800000	190040000	190214555
5	1	46440000	50120000	181320000	181538259
6	200000	58480000	60200000	170640000	170805979
7	1	58080000	61720000	159345973	159345973
8	80000	44000000	45960000	145138636	145138636
9	1	39120000	68320000	138394717	138394717
X	240000	58560000	62480000	156040895	156040895
