chr1	762000	6159999
chr1	6492000	7666999
chr1	8000000	10440999
chr1	10519000	10959999
chr1	11039000	12745999
chr1	13194000	15479999
chr1	15560000	16519999
chr1	16899000	18839999
chr1	18920000	19639999
chr1	19812000	20553999
chr1	21239000	22920999
chr1	22999000	23748999
chr1	24018000	25199999
chr1	25360000	26440999
chr1	26520000	26879999
chr1	26959000	28538999
chr1	28723000	30679999
chr1	30759000	32110999
chr1	32184000	34832999
chr1	35084000	36439999
chr1	36520000	37494999
chr1	37940000	38891999
chr1	39013000	39719999
chr1	39799000	40000999
chr1	40080000	40399999
chr1	40536000	43120999
chr1	43199000	44679999
chr1	44760000	46319999
chr1	46399000	50319999
chr1	50400000	51280999
chr1	51360000	52000999
chr1	52080000	53199999
chr1	53280000	54916999
chr1	55080000	56720999
chr1	56840000	58439999
chr1	58519000	58640999
chr1	58720000	59799999
chr1	60000000	62400999
chr1	62479000	64240999
chr1	64320000	65039999
chr1	65080000	67480999
chr1	67560000	71039999
chr1	71120000	74679999
chr1	74799000	75700999
chr1	75825000	78079999
chr1	78160000	78679999
chr1	78720000	83839999
chr1	83920000	85239999
chr1	85320000	86320999
chr1	86399000	88839999
chr1	88960000	89999999
chr1	90080000	91303999
chr1	91520000	92751999
chr1	92880000	93839999
chr1	94000000	94439999
chr1	94520000	95114999
chr1	95280000	98588999
chr1	98683000	99719999
chr1	99800000	101279999
chr1	101395000	103599999
chr1	103800000	107720999
chr1	107800000	108366999
chr1	108474000	109999999
chr1	110079000	113039999
chr1	113119000	114828999
chr1	114859000	116040999
chr1	116119000	116519999
chr1	116601000	117919999
chr1	118040000	121599999
chr1	124960000	125131999
chr1	145520000	146039999
chr1	146793000	148399999
chr1	149769000	151230999
chr1	151248000	151999999
chr1	152080000	153538999
chr1	153625000	155159999
chr1	155240000	156995999
chr1	157055000	161399999
chr1	161480000	162759999
chr1	162840000	165080999
chr1	165159000	165230999
chr1	165400000	166800999
chr1	166880000	168090999
chr1	168108000	169475999
