10	50000	39175000	44150000	135534747	135534747
11	100000	38900000	41475000	135006516	135006516
12	50000	34875000	39675000	133851895	133851895
13	0	0	19150000	115169878	115169878
14	0	0	19425000	107349540	107349540
15	0	0	20375000	102531392	102531392
16	50000	35300000	48700000	90354753	90354753
17	1	22275000	26075000	81195210	81195210
18	1	15425000	19450000	78077248	78077248
19	175000	24625000	29400000	59128983	59128983
1	50000	121375000	142975000	249250621	249250621
20	50000	26325000	30700000	63025520	63025520
21	0	0	9400000	48129895	48129895
22	0	0	16600000	51304566	51304566
2	1	90275000	92325000	243199373	243199373
3	50000	90525000	97475000	197900000	198022430
4	1	49350000	53875000	191154276	191154276
5	1	46425000	52050000	180915260	180915260
6	150000	58375000	64600000	171115067	171115067
7	25000	58075000	64100000	159138663	159138663
8	150000	43850000	49025000	146364022	146364022
9	1	44925000	68525000	141125000	141213431
X	150000	58575000	64750000	155270560	155270560
