10	80000	39080000	42400000	135534747	135534747
11	160000	38800000	41440000	135006516	135006516
12	1	34880000	37840000	133851895	133851895
13	0	0	19240000	115169878	115169878
14	0	0	19520000	107349540	107349540
15	0	0	20360000	102531392	102531392
16	1	35280000	46440000	90160000	90354753
17	1	22280000	25240000	81195210	81195210
18	1	15120000	16960000	78077248	78077248
19	200000	24600000	27720000	59128983	59128983
1	720000	121440000	144520000	249250621	249250621
20	1	26320000	29440000	63025520	63025520
21	0	0	10640000	48129895	48129895
22	0	0	17000000	51304566	51304566
2	1	90040000	92280000	243199373	243199373
3	1	90520000	93480000	198022430	198022430
4	1	49080000	52680000	190960000	191154276
5	1	46440000	49440000	180720000	180915260
6	120000	58800000	61880000	171115067	171115067
7	1	58080000	61040000	159138663	159138663
8	120000	43840000	46840000	146364022	146364022
9	1	39200000	70920000	141213431	141213431
X	2680000	58560000	61720000	154960000	155270560
