10	125940	38720927	48299362	134053503	135534747
11	92000	38932549	39241550	134916893	135006516
12	153000	34832934	39753802	133812585	133851895
13	0	0	19114140	110812346	115169878
14	0	0	24988206	106656669	107349540
15	0	0	29046146	101860204	102531392
16	90000	32044320	46385801	90146407	90354753
17	1	21566608	26933018	80757875	81195210
18	80000	15399998	18539961	77479999	78077248
19	280000	24582801	27770908	57951367	59128983
1	697380	118462622	146303299	247803301	249250621
20	60641	26319569	29803908	62951352	63025520
21	0	0	14541321	47619913	48129895
22	0	0	18987513	50758428	51304566
2	40000	87140122	98176463	242339414	243199373
3	81674	88209149	93504854	197886870	198022430
4	40001	49299016	52706166	190921154	191154276
5	39998	46400101	49455834	180707000	180915260
6	160000	56144797	64588893	169240094	171115067
7	40000	58054331	65224987	158472691	159138663
8	44000	43815142	46911622	145706382	146364022
9	40000	39188996	70974916	141054451	141213431
X	2895041	58546432	61739470	152049543	155270560
