10	50000	39175000	44050000	135534747	135534747
11	100000	38825000	40300000	135006516	135006516
12	50000	34875000	39700000	133851895	133851895
13	0	0	19150000	115169878	115169878
14	0	0	19425000	107349540	107349540
15	0	0	20000000	102475000	102531392
16	50000	35300000	48700000	90225000	90354753
17	1	22275000	26075000	81195210	81195210
18	1	15425000	20600000	78077248	78077248
19	175000	24600000	30075000	59100000	59128983
1	50000	121500000	142825000	249250621	249250621
20	50000	26325000	31450000	63025520	63025520
21	0	0	9400000	48129895	48129895
22	0	0	16700000	51225000	51304566
2	1	91875000	92325000	243199373	243199373
3	50000	90525000	97475000	197900000	198022430
4	1	49325000	53850000	191154276	191154276
5	1	46425000	51975000	180915260	180915260
6	150000	58800000	64000000	170925000	171115067
7	1	58075000	64675000	159138663	159138663
8	150000	43825000	48975000	146364022	146364022
9	1	39200000	68525000	141213431	141213431
X	50000	58575000	64775000	155270560	155270560
